benchmark_episode,benchmark_episode_total,global_episode_id,scenario_id,scenario_code,scenario_name,outcome,duration_seconds,mission_success,collisions,completed_parcel_tasks,total_parcel_tasks,battery_level,final_task_stage
1,1,9,5,"A5","Rack Relocation Causing Wrong Parcel Placement","WRONG_PLACEMENT",28.320,False,0,0,3,98.90,"Complete"
1,1,1,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",40.162,False,1,0,3,98.25,"Complete"
1,1,2,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",40.134,False,1,0,3,98.25,"Complete"
1,1,1,7,"E2","High-Density Human Crossing","COLLISION_HUMAN",38.566,False,1,0,3,98.56,"Complete"
1,1,2,7,"E2","High-Density Human Crossing","COLLISION_HUMAN",38.580,False,1,0,3,98.56,"Complete"
1,1,4,10,"E5","All-Station Dynamic Delivery","TIMEOUT",120.000,False,0,1,3,95.79,"NavigateToDestination"
1,1,5,10,"E5","All-Station Dynamic Delivery","TIMEOUT",120.000,False,0,1,3,95.79,"NavigateToDestination"
1,1,15,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_FORKLIFT",32.894,False,1,0,3,98.64,"Complete"
1,1,16,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_FORKLIFT",33.006,False,1,0,3,98.63,"Complete"
1,1,17,2,"A2","Agent Trapped in Temporary Bottleneck","COLLISION_FORKLIFT",30.632,False,1,0,3,98.78,"Complete"
1,1,20,12,"T2","Worker Tag Link Loss and Recovery","SUCCESS",23.938,True,0,1,1,99.05,"Complete"
1,1,22,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_FORKLIFT",32.484,False,1,0,3,98.66,"Complete"
1,1,23,4,"A4","Rack Relocation Causing Wrong Parcel Placement","WRONG_PLACEMENT",40.479,False,0,0,3,98.33,"Complete"
1,1,24,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_FORKLIFT",32.847,False,1,0,3,98.64,"Complete"
1,1,25,2,"A2","Dynamic Path Obstruction After Route Commitment","COLLISION_FORKLIFT",30.928,False,1,0,3,98.77,"Complete"
1,1,26,3,"A3","Drop-Off Approach Blocked","COLLISION_FORKLIFT",18.940,False,1,0,3,99.30,"Complete"
1,1,28,5,"A5","Pickup Docking Misalignment at Rack Face","TIMEOUT",120.000,False,0,1,3,96.72,"NavigateToSource"
1,1,29,2,"A2","Dynamic Path Obstruction After Route Commitment","COLLISION_FORKLIFT",32.543,False,1,0,3,98.72,"Complete"
1,1,30,6,"E1","Destination Station Capacity Full","SUCCESS",27.304,True,0,1,1,98.92,"Complete"
1,1,31,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_FORKLIFT",32.455,False,1,0,3,98.66,"Complete"
1,1,32,2,"A2","Dynamic Path Obstruction After Route Commitment","COLLISION_FORKLIFT",30.559,False,1,0,3,98.78,"Complete"
1,1,34,4,"A4","Rack Relocation Causing Wrong Parcel Placement","WRONG_PLACEMENT",38.608,False,0,0,3,98.38,"Complete"
1,1,35,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_FORKLIFT",34.357,False,1,0,3,98.62,"Complete"
1,1,37,12,"T2","Delayed Human-Position Update","SUCCESS",21.560,True,0,1,1,99.17,"Complete"
1,1,38,13,"T3","LiDAR Observation Degradation","SUCCESS",60.583,True,0,1,1,97.42,"Complete"
1,1,40,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.443,False,1,0,3,98.16,"Complete"
1,1,41,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",45.029,False,1,0,3,98.13,"Complete"
1,1,42,5,"A5","Pickup Docking Misalignment at Rack Face","COLLISION_HUMAN",18.997,False,1,0,3,99.62,"Complete"
1,1,43,6,"E1","Destination Station Capacity Full","SUCCESS",27.247,True,0,1,1,98.92,"Complete"
1,1,44,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.677,False,1,0,3,98.16,"Complete"
1,1,45,2,"A2","Dynamic Path Obstruction After Route Commitment","COLLISION_FORKLIFT",30.768,False,1,0,3,98.77,"Complete"
1,1,46,3,"A3","Drop-Off Approach Blocked","COLLISION_FORKLIFT",18.875,False,1,0,3,99.31,"Complete"
1,1,48,5,"A5","Pickup Docking Misalignment at Rack Face","COLLISION_HUMAN",18.691,False,1,0,3,99.63,"Complete"
1,1,49,5,"A5","Pickup Docking Misalignment at Rack Face","COLLISION_HUMAN",18.919,False,1,0,3,99.62,"Complete"
1,1,50,5,"A5","Pickup Docking Misalignment at Rack Face","COLLISION_HUMAN",18.630,False,1,0,3,99.63,"Complete"
