timestamp,scenario_id,episode_id,step_id,robot_x,robot_y,robot_z,robot_yaw,robot_linear_velocity,robot_angular_velocity,goal_x,goal_y,goal_z,distance_to_goal,number_of_dynamic_objects,obstacle_positions,obstacle_velocities,human_positions,human_velocities,forklift_positions,forklift_velocities,collision,goal_reached,navigation_status,warehouse_length,warehouse_width,aisle_width,scenario_type
7.9311,18,8,78,-18.3389,0.0500,-3.7961,29.8447,1.4416,0.0000,-8.4000,0.0000,13.5000,19.9484,2,"","","2.000:0.000:1.514","0.000:0.000:1.200","-4.000:0.000:1.860","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.0311,18,8,79,-18.2643,0.0500,-3.6660,29.8447,1.3520,0.0000,-8.4000,0.0000,13.5000,19.7984,2,"","","2.000:0.000:1.634","0.000:0.000:1.200","-4.000:0.000:1.660","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.1340,18,8,80,-18.1875,0.0500,-3.5322,29.8447,1.5260,0.0000,-8.4000,0.0000,13.5000,19.6442,2,"","","2.000:0.000:1.758","0.000:0.000:1.200","-4.000:0.000:1.455","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.2345,18,8,81,-18.1124,0.0500,-3.4013,29.8447,1.6013,0.0000,-8.4000,0.0000,13.5000,19.4933,2,"","","2.000:0.000:1.878","0.000:0.000:1.200","-4.000:0.000:1.254","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.3361,18,8,82,-18.0366,0.0500,-3.2692,29.8447,1.4799,0.0000,-8.4000,0.0000,13.5000,19.3409,2,"","","2.000:0.000:2.000","0.000:0.000:1.200","-4.000:0.000:1.050","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.4362,18,8,83,-17.9619,0.0500,-3.1390,29.8447,1.4631,0.0000,-8.4000,0.0000,13.5000,19.1908,2,"","","2.000:0.000:2.120","0.000:0.000:1.200","-4.000:0.000:0.850","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.5385,18,8,84,-17.8855,0.0500,-3.0058,29.8447,1.5814,0.0000,-8.4000,0.0000,13.5000,19.0373,2,"","","2.000:0.000:2.243","0.000:0.000:1.200","-4.000:0.000:0.646","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.6401,18,8,85,-17.8097,0.0500,-2.8737,29.8447,1.6365,0.0000,-8.4000,0.0000,13.5000,18.8850,2,"","","2.000:0.000:2.365","0.000:0.000:1.200","-4.000:0.000:0.442","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.7432,18,8,86,-17.7327,0.0500,-2.7396,29.8447,1.7073,0.0000,-8.4000,0.0000,13.5000,18.7304,2,"","","2.000:0.000:2.489","0.000:0.000:1.200","-4.000:0.000:0.236","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.8461,18,8,87,-17.6559,0.0500,-2.6057,29.8446,1.6014,0.0000,-8.4000,0.0000,13.5000,18.5760,2,"","","2.000:0.000:2.612","0.000:0.000:1.200","-4.000:0.000:0.031","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
8.9475,18,8,88,-17.5802,0.0500,-2.4737,29.8446,1.0408,0.0000,-8.4000,0.0000,13.5000,18.4239,2,"","","2.000:0.000:2.734","0.000:0.000:1.200","-4.000:0.000:-0.172","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
9.0511,18,8,89,-17.5029,0.0500,-2.3389,29.8446,1.3237,0.0000,-8.4000,0.0000,13.5000,18.2684,2,"","","2.000:0.000:2.858","0.000:0.000:1.200","-4.000:0.000:-0.380","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
9.1516,18,8,90,-17.4279,0.0500,-2.2082,29.8446,1.3376,0.0000,-8.4000,0.0000,13.5000,18.1178,2,"","","2.000:0.000:2.979","0.000:0.000:1.200","-4.000:0.000:-0.580","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
9.2541,18,8,91,-17.3514,0.0500,-2.0749,29.8446,1.5407,0.0000,-8.4000,0.0000,13.5000,17.9640,2,"","","2.000:0.000:3.102","0.000:0.000:1.200","-4.000:0.000:-0.785","0.000:0.000:-2.000",False,False,Moving,60.00,40.00,3.00,StressTest
